seqname dsDNAphage      NCLDV   RNA     ssDNA   lavidaviridae   max_score       max_score_group length  hallmark        viral   cellular
k141_9779753||full      0.847   0.993   0.110   0.780   1.000   1.000   lavidaviridae   5222    0       80.000  0.000
k141_12310662||full     0.620   1.000   0.065   0.153   0.960   1.000   NCLDV   6310    0       50.000  0.000
k141_13581122||full     0.107   1.000   0.015   0.007   0.080   1.000   NCLDV   8435    0       10.000  0.000
k141_13771951||full     0.907   1.000   0.045   0.073   1.000   1.000   NCLDV   25641   0       44.000  0.000
k141_13219451||full     0.353   1.000   0.025   0.047   0.740   1.000   NCLDV   4470    0       50.000  16.700
k141_7981766||full      0.667   1.000   0.065   0.833   1.000   1.000   NCLDV   2784    0       50.000  0.000
k141_16130150||full     0.593   0.993   0.300   0.580   0.973   0.993   NCLDV   2705    0       25.000  0.000
k141_5816191||full      0.360   1.000   0.065   0.113   0.753   1.000   NCLDV   16979   0       13.600  9.100
k141_5082091||full      0.220   1.000   0.045   0.040   0.820   1.000   NCLDV   8409    0       25.000  0.000
k141_8701492||full      0.820   0.993   0.065   0.147   0.980   0.993   NCLDV   15578   0       56.200  0.000
k141_11968929||full     0.340   1.000   0.070   0.007   0.980   1.000   NCLDV   11070   1       20.000  0.000
k141_14138008||full     0.553   0.973   0.150   0.847   0.987   0.987   lavidaviridae   3532    0       50.000  0.000
k141_3824080||full      0.280   1.000   0.000   0.013   0.387   1.000   NCLDV   25028   0       45.800  8.400
k141_2920126||full      0.920   1.000   0.020   0.073   0.847   1.000   NCLDV   6788    0       27.300  18.200
k141_6003813||full      0.707   1.000   0.085   0.307   0.980   1.000   NCLDV   9503    0       70.000  0.000
k141_17812032||full     0.553   1.000   0.035   0.087   0.953   1.000   NCLDV   8332    0       33.300  8.300
k141_11278269||full     0.873   1.000   0.030   0.120   0.827   1.000   NCLDV   15363   0       53.800  7.700
k141_768016||full       0.533   0.920   0.200   0.273   0.993   0.993   lavidaviridae   9957    0       50.000  0.000
k141_6589868||full      0.300   0.993   0.035   0.053   0.787   0.993   NCLDV   21493   1       44.400  5.600
k141_11089311||full     0.380   0.993   0.040   0.013   0.907   0.993   NCLDV   8436    0       23.100  0.000
k141_4220039||full      0.507   1.000   0.265   0.567   1.000   1.000   NCLDV   3597    0       20.000  0.000
k141_12018073||full     0.420   1.000   0.125   0.380   0.993   1.000   NCLDV   13197   0       38.500  0.000
k141_13664431||full     0.320   0.987   0.000   0.027   0.600   0.987   NCLDV   8833    0       60.000  10.000
k141_15110729||full     0.233   1.000   0.055   0.087   0.633   1.000   NCLDV   11216   1       31.200  0.000
k141_15113149||full     0.607   1.000   0.090   0.100   0.967   1.000   NCLDV   8685    0       53.800  0.000
k141_17451201||full     0.080   0.993   0.005   0.000   0.333   0.993   NCLDV   6428    0       25.000  12.500
k141_5175640||full      0.807   1.000   0.060   0.673   0.987   1.000   NCLDV   8300    0       69.200  0.000
k141_10425776||full     0.553   1.000   0.025   0.060   0.713   1.000   NCLDV   30603   0       50.000  5.000
k141_13483642||full     0.200   0.993   0.010   0.007   0.613   0.993   NCLDV   13595   0       23.100  7.700
k141_7923965||full      0.407   1.000   0.050   0.707   1.000   1.000   NCLDV   6654    0       44.400  0.000
k141_17885444||full     0.173   1.000   0.075   0.073   0.833   1.000   NCLDV   10650   0       33.300  0.000
k141_9378124||full      0.747   1.000   0.075   0.327   0.960   1.000   NCLDV   15379   1       72.200  0.000
k141_16950214||full     0.947   0.853   0.210   0.707   0.967   0.967   lavidaviridae   5656    0       66.700  0.000
k141_12619868||full     0.373   0.967   0.005   0.020   0.553   0.967   NCLDV   22460   0       37.000  3.700
k141_2297248||full      0.640   1.000   0.510   0.573   0.993   1.000   NCLDV   3879    0       50.000  0.000
k141_10997165||full     0.313   1.000   0.155   0.800   0.987   1.000   NCLDV   4585    1       42.900  0.000
k141_12653549||full     0.447   1.000   0.060   0.007   0.727   1.000   NCLDV   16048   0       20.000  10.000
k141_13712832||full     0.820   1.000   0.120   0.813   1.000   1.000   NCLDV   3857    0       71.400  0.000
k141_7557981||full      0.713   1.000   0.105   0.013   0.940   1.000   NCLDV   13206   0       28.600  7.100
k141_5235783||full      0.467   0.987   0.095   0.453   0.867   0.987   NCLDV   2514    0       50.000  0.000
k141_9551541||full      0.507   0.933   0.280   0.233   0.980   0.980   lavidaviridae   6407    0       37.500  0.000
k141_12957815||full     0.393   0.993   0.080   0.080   0.767   0.993   NCLDV   4401    0       40.000  0.000
k141_7763690||full      0.680   0.980   0.180   0.753   1.000   1.000   lavidaviridae   2916    0       40.000  0.000
k141_6481094||full      0.760   0.980   0.120   0.580   0.800   0.980   NCLDV   4047    0       100.000 0.000
k141_14983216||full     0.840   0.967   0.105   0.693   1.000   1.000   lavidaviridae   3367    0       66.700  0.000
k141_13185996||full     0.713   1.000   0.215   0.860   1.000   1.000   NCLDV   2918    0       60.000  0.000
k141_170729||full       0.360   1.000   0.095   0.107   0.920   1.000   NCLDV   2716    0       50.000  0.000
k141_9740516||full      0.567   1.000   0.020   0.220   0.680   1.000   NCLDV   6462    0       80.000  10.000
k141_15184748||full     0.860   0.987   0.115   0.533   0.967   0.987   NCLDV   2677    0       66.700  0.000
k141_11387916||full     0.327   0.867   0.265   0.267   0.853   0.867   NCLDV   4024    0       14.300  0.000
k141_13525039||full     0.393   1.000   0.330   0.727   1.000   1.000   NCLDV   2589    0       33.300  0.000
k141_2172141||full      0.947   1.000   0.205   0.847   1.000   1.000   NCLDV   2690    0       60.000  0.000
k141_16632017||full     0.620   0.993   0.085   0.607   0.927   0.993   NCLDV   2948    0       66.700  0.000
k141_1423489||full      0.913   1.000   0.115   0.073   0.727   1.000   NCLDV   6378    0       33.300  0.000
k141_15384136||full     0.440   0.973   0.375   0.900   1.000   1.000   lavidaviridae   3132    0       40.000  0.000
k141_1986802||full      0.520   0.993   0.085   0.273   0.913   0.993   NCLDV   3538    0       50.000  16.700
k141_9012705||full      0.687   0.800   0.140   0.380   0.560   0.800   NCLDV   4940    0       75.000  0.000
k141_2311475||full      0.573   0.587   0.275   0.013   0.880   0.880   lavidaviridae   16370   0       13.300  0.000
k141_6983662||full      0.160   0.993   0.155   0.047   0.547   0.993   NCLDV   3362    0       33.300  0.000
k141_4859525||full      0.273   0.640   0.020   0.047   0.553   0.640   NCLDV   3006    0       25.000  12.500
k141_17353298||full     0.467   0.973   0.190   0.680   0.853   0.973   NCLDV   2825    0       40.000  0.000
k141_13624046||full     1.000   0.887   0.165   0.127   0.873   1.000   dsDNAphage      18286   1       23.100  0.000
k141_5316527||full      0.173   0.767   0.050   0.033   0.420   0.767   NCLDV   3295    0       25.000  0.000
k141_2014371||full      0.640   1.000   0.280   0.893   1.000   1.000   NCLDV   4992    0       42.900  0.000
k141_4775224||full      0.787   1.000   0.610   0.980   0.980   1.000   NCLDV   4126    1       33.300  0.000
k141_12342798||full     0.807   0.993   0.260   0.833   1.000   1.000   lavidaviridae   3205    0       40.000  0.000
k141_2700173||full      0.820   1.000   0.070   0.687   1.000   1.000   NCLDV   2498    0       100.000 0.000
k141_6697826||full      0.333   1.000   0.105   0.120   0.927   1.000   NCLDV   2689    0       50.000  0.000
k141_3441829||full      0.147   0.773   0.025   0.007   0.267   0.773   NCLDV   3373    0       40.000  20.000
k141_5792963||full      0.320   0.860   0.135   0.093   0.667   0.860   NCLDV   3472    0       40.000  0.000
k141_17051077||full     0.200   0.773   0.010   0.000   0.207   0.773   NCLDV   6948    0       20.000  10.000
k141_2956724||full      0.773   0.960   0.330   0.467   0.980   0.980   lavidaviridae   3204    0       12.500  0.000
k141_1975735||full      0.460   0.767   0.220   0.853   0.947   0.947   lavidaviridae   2749    0       50.000  0.000
